Hubo haber VMIS3S0 0.0233051
un uno DI0MS0 0.99698
tiempo tiempo NCMS000 1
en en SP 1
que que PR0CN00 0.550139
yo yo PP1CSN0 1
pensaba pensar VMII3S0 0.65
mucho mucho RG 0.776908
en en SP 1
los el DA0MP0 0.992728
axolotl axolotl NCMS000 0.192556
. . Fp 1

Iba ir VMII3S0 0.644935
a a SP 0.998775
ver ver VMN0000 1
los lo PP3MPA0 1
a a SP 1
el el DA0MS0 1
acuario acuario NCMS000 1
de de SP 1
el el DA0MS0 1
Jardin jardin NP00000 1
des d NCFP000 0.998103
Plantes plantes NP00000 1
y y CC 0.999989
me me PP1CS00 0.755196
quedaba quedar VMII3S0 0.65
horas hora NCFP000 1
mirando mirar VMG0000 1
los lo PP3MPA0 1
, , Fc 1
observando observar VMG0000 1
su su DP3CSN 1
inmovilidad inmovilidad NCFS000 1
, , Fc 1
sus su DP3CPN 0.999903
oscuros oscuro AQ0MP00 1
movimientos movimiento NCMP000 1
. . Fp 1

Ahora ahora RG 1
soy ser VSIP1S0 1
un uno DI0MS0 0.99698
axolotl axolotl NCMS000 0.192556
. . Fp 1

El el DA0MS0 1
azar azar NCMS000 1
me me P01CS00 0.244804
llevó llevar VMIS3S0 1
hacia hacia SP 1
ellos ellos PP3MP00 1
una uno DI0FS0 0.951973
mañana mañana NCCS000 0.461592
de de SP 0.999961
primavera primavera NCFS000 1
en en SP 1
que que CS 0.449861
París parís NP00000 1
abría abrir VMII3S0 0.649993
su su DP3CSN 1
cola cola NCFS000 1
de de SP 0.999961
pavorreal pavor_real NCMS000 1
después_de después_de SP 1
la el DA0FS0 0.98926
lenta lento AQ0FS00 1
invernada invernada NCFS000 0.661749
. . Fp 1

Bajé bajar VMIS1S0 1
por por SP 1
el el DA0MS0 1
bulevar bulevar NCMS000 1
de de SP 0.999961
Port-Royal port-royal NP00000 1
, , Fc 1
tomé tomar VMIS1S0 1
St st NP00000 1
. . Fp 1

Marcel marcel NP00000 1
y y CC 0.999989
L l NP00000 1
´ ´ Fz 1
Hôspital hôspital NP00000 1
, , Fc 1
vi ver VMIS1S0 1
los el DA0MP0 0.992728
verdes verde AQ0CP00 0.987805
entre entre SP 0.980341
tanto tanto RG 0.806143
gris gris AQ0CS00 0.97619
y y CC 0.999989
me me PP1CS00 0.755196
acordé acordar VMIS1S0 1
de de SP 0.999961
los el DA0MP0 0.992728
leones león NCMP000 1
. . Fp 1

Era ser VSII3S0 0.491225
amigo amigo NCMS000 0.913043
de de SP 0.999961
los el DA0MP0 0.992728
leones león NCMP000 1
y y CC 0.999989
las el DA0FP0 0.988184
panteras pantera NCFP000 1
, , Fc 1
pero pero CC 0.999902
nunca nunca RG 1
había haber VAII3S0 0.499853
entrado entrar VMP00SM 1
en en SP 1
el el DA0MS0 1
húmedo húmedo AQ0MS00 1
y y CC 0.999989
oscuro oscuro AQ0MS00 1
edificio edificio NCMS000 1
de de SP 0.999961
los el DA0MP0 0.992728
acuarios acuario NCMP000 1
. . Fp 1

Dejé dejar VMIS1S0 1
mi mi DP1CSS 0.999325
bicicleta bicicleta NCFS000 1
contra contra SP 0.984245
las el DA0FP0 0.988184
rejas reja NCFP000 1
y y CC 0.999989
fui ir VMIS1S0 0.403846
a a SP 0.998775
ver ver VMN0000 0.998812
los el DA0MP0 0.992728
tulipanes tulipán NCMP000 1
