El el DA0MS0 1
universo universo NCMS000 1
( ( Fpa 1
que que CS 0.449861
otros otro PI0MP00 0.254022
llaman llamar VMIP3P0 1
la el DA0FS0 0.98926
Biblioteca biblioteca NP00000 1
) ) Fpt 1
se se P00CN00 0.494509
compone componer VMIP3S0 1
de de SP 0.999961
un uno DI0MS0 0.99698
número número NCMS000 1
indefinido indefinido AQ0MS00 0.97619
, , Fc 1
y y CC 0.999989
tal_vez tal_vez RG 1
infinito infinito AQ0MS00 0.661294
, , Fc 1
de de SP 0.999961
galerías galería NCFP000 1
hexagonales hexagonal AQ0CP00 1
, , Fc 1
con con SP 1
vastos vasto AQ0MP00 1
pozos pozo NCMP000 1
de de SP 0.999961
ventilación ventilación NCFS000 1
en en SP 1
el el DA0MS0 1
medio medio NCMS000 0.21966
, , Fc 1
cercados cercar VMP00PM 0.329768
por por SP 1
barandas baranda NCCP000 1
bajísimas bajo AQSFP00 1
. . Fp 1

Desde desde SP 1
cualquier cualquiera DI0CS0 1
hexágono hexágono NCMS000 1
se se P00CN00 0.494509
ven ver VMIP3P0 0.992958
los el DA0MP0 0.992728
pisos piso NCMP000 1
inferiores inferior AQ0CP00 0.980769
y y CC 0.999989
superiores superior AQ0CP00 0.880435
: : Fd 1
interminablemente interminablemente RG 1
. . Fp 1

La el DA0FS0 0.98926
distribución distribución NCFS000 1
de de SP 0.999961
las el DA0FP0 0.988184
galerías galería NCFP000 1
es ser VSIP3S0 1
invariable invariable AQ0CS00 1
. . Fp 1

Veinte 20 Z 1
anaqueles anaquel NCMP000 1
, , Fc 1
a a SP 0.998775
cinco 5 Z 0.999454
largos largo AQ0MP00 0.980769
anaqueles anaquel NCMP000 1
por por SP 1
lado lado NCMS000 1
, , Fc 1
cubren cubrir VMIP3P0 1
todos todo DI0MP0 0.70665
los el DA0MP0 0.992728
lados lado NCMP000 1
menos menos RG 0.990694
dos 2 Z 0.999868
; ; Fx 1
su su DP3CSN 1
altura altura NCFS000 1
, , Fc 1
que que PR0CN00 0.550139
es ser VSIP3S0 1
la el DA0FS0 0.98926
de de SP 0.999961
los el DA0MP0 0.992728
pisos piso NCMP000 1
, , Fc 1
excede exceder VMIP3S0 0.98924
apenas apenas RG 0.972286
la el DA0FS0 0.98926
de de SP 0.999961
un uno DI0MS0 0.99698
bibliotecario bibliotecario NCMS000 1
normal normal AQ0CS00 0.995283
. . Fp 1

Una uno PI0FS00 0.0420733
de de SP 0.999961
las el DA0FP0 0.988184
caras cara NCFP000 0.63865
libres libre AQ0CP00 0.982301
da dar VMIP3S0 0.998555
a a SP 0.998775
un uno DI0MS0 0.99698
angosto angosto AQ0MS00 0.974297
zaguán zaguán NCMS000 1
, , Fc 1
que que PR0CN00 0.550139
desemboca desembocar VMIP3S0 0.98924
en en SP 1
otra otro DI0FS0 0.740893
galería galería NCFS000 1
, , Fc 1
idéntica idéntico AQ0FS00 0.97619
a a SP 0.998775
la el DA0FS0 0.98926
primera 1 AO0FS00 0.995242
y y CC 0.999989
a a SP 0.998775
todas todo DI0FP0 0.934073
. . Fp 1

A a SP 0.998775
izquierda izquierda NCFS000 0.674129
y y CC 0.999989
a a SP 0.998775
derecha derecha NCFS000 0.683246
de de SP 1
el el DA0MS0 1
zaguán zaguán NCMS000 1
hay haber VMIP3S0 1
dos 2 Z 0.999868
gabinetes gabinete NCMP000 1
minúsculos minúsculo AQ0MP00 1
. . Fp 1

Uno uno PI0MS00 0.981709
permite permitir VMIP3S0 0.997312
dormir dormir VMN0000 1
de de SP 0.999961
pie pie NCMS000 1
; ; Fx 1
otro otro PI0MS00 0.341499
, , Fc 1
satisfacer satisfacer VMN0000 1
las el DA0FP0 0.988184
necesidades necesidad NCFP000 1
finales final AQ0CP00 0.258786
. . Fp 1

Por por SP 1
ahí ahí RG 1
pasa pasar VMIP3S0 0.991758
la el DA0FS0 0.98926
escalera escalera NCFS000 1
espiral espiral AQ0CS00 0.651364
, , Fc 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
abisma abismar VMIP3S0 0.974137
y y CC 0.999989
se se P00CN00 0.494509
eleva elevar VMIP3S0 0.989241
hacia hacia SP 1
lo el DA00S0 0.665165
remoto remoto AQ0MS00 1
. . Fp 1

En en SP 1
el el DA0MS0 1
zaguán zaguán NCMS000 1
hay haber VMIP3S0 1
un uno DI0MS0 0.99698
espejo espejo NCMS000 0.98913
, , Fc 1
que que PR0CN00 0.550139
fielmente fielmente RG 1
duplica duplicar VMIP3S0 0.978715
las el DA0FP0 0.988184
apariencias apariencia NCFP000 1
. . Fp 1

Los el DA0MP0 0.992728
hombres hombre NCMP000 1
suelen soler VMIP3P0 0.98374
inferir inferir VMN0000 1
de de SP 0.999961
ese ese DD0MS0 0.966694
espejo espejo NCMS000 0.98913
que que CS 0.449861
la el DA0FS0 0.98926
Biblioteca biblioteca NP00000 1
no no RN 0.999297
es ser VSIP3S0 1
infinita infinito AQ0FS00 1
( ( Fpa 1
si si CS 0.999827
lo lo PP3MSA0 0.334764
fuera ser VSSI3S0 0.309605
realmente realmente RG 1
¿ ¿ Fia 1
